UC_id,new_id (old),ID (old),Use case,Subcategory,Indicator,Information needs,Suggested OCDS fields,OCDS extension,Rationale and Additional Context,Observations,Calculation method
UC001,,,Market Opportunity,Market description,Total number of procedures,-Procedure ID,ocid,,The total number of procedures indicates the size of the procurement market,,Count of unique procedures
UC002,,,Market Opportunity,Market description,Total number of procuring entities,-Procuring entity (buyer) ID,"ocid, tender/procuringEntity/name OR buyer/name OR parties/identifier/id and parties/identifier/name with parties/roles=buyer",,The total number of procuring entities or buyers indicates the size of the procurement market,,Count of unique procuring entities (or buyers)
UC003,,,Market Opportunity,Market description,Total number of unique bidders,- Bidder information,"ocid, tender/tenderers/id OR bids/details/tenderers/id",,A higher number of unique bidders may indicate greater system openness and potential for competition. ,,Count of unique bidders
UC004,,,Market Opportunity,Market description,Total number of awarded suppliers,"- Suppliers information
- Award status","awards/id, awards/suppliers/id, awards/suppliers/name, awards/status",,A higher number of awarded suppliers may indicate greater system openness and potential for competition. ,,Count of unique awarded suppliers
UC005,,,Market Opportunity,Market description,Total number of procedures by year or month,"-Procedure ID
-Date","ocid, date OR tender/tenderPeriod/startDate",,The total number of procedures by period can help identify if there are seasonal patterns in public purchases,,Count of total number of procedures by period
UC006,,,Market Opportunity,Market description,Total value awarded,"-Award value
-Award status","awards/status, awards/value/amount, awards/value/currency",,The value awarded indicates the size of the procurement market,,Sum of value awarded
UC007,,,Market Opportunity,Market description,Share of tenders by status,-Tender status,"ocid, tender/status",,A higher proportion of canceled tenders can be a sign of inefficiency of the contracting process,,# of tenders by status / # of total tenders
UC008,,,Market Opportunity,Market description,Number of procedures by item type,-Item classifications,"ocid, tender/items/classification/id, tender/items/classification/scheme",,The total number of procedures by item type helps identify the size of specific markets. ,,# of tenders by item type 
UC009,,,Market Opportunity,Market description,Proportion of tenders by procurement category,-Procurement category,tender/mainProcurementCategory,,The total number of procedures by category helps identify the size of specific markets. ,,# of tenders by prourement category / # of total tenders
UC010,,,Market Opportunity,Market description,Number of tenders by procedure type,-Procurement method,"ocid, tender/procurementMethod",,"A higher percent of competitive procedures to all procedures may indicate greater openness of award procedures.  Similarly, a higher proportion of direct awards might signal a risk.",,# of tenders by procedure / # of total tenders
UC011,3,M017,Market Opportunity,Competition,Percent of tenders awarded by means of competitive procedures,"- Procurement method used
- Award status","ocid
tender/procurementMethod
awards/status",,"A higher total percent of tenders awarded through competitive procedures may indicate greater openness of award procedures. Use of competitive procedures may allow easier access for market participants to public procurement and, therefore, may result in increased competition.",,Number procedures awarded by competitive procedures/ all procedures
UC012,1,M015,Market Opportunity,Competition,Percent of contracts awarded under each procedure type,"- Contract ID and status
- Procurement method used","ocid
tender/procurementMethod
(contracts/id
contracts/status) OR (awards/id, awards/status)",,"A higher percent of competitive procedures to all procedures may indicate greater openness of award procedures.  Similarly, a higher proportion of direct awards might signal a risk.",,# of contracts by procedure / # of total contracts
UC013,2,M016,Market Opportunity,Competition,Total contracted value awarded under each procedure type,"- Contract ID, status and value
- Procurement method used","ocid
tender/procurementMethod
(contracts/id
contracts/status
contract/value/amount
contract/value/currency) OR (awards/id
awards/status
awards/value/amount
awards/value/currency)",,A higher total sum awarded through competitive procedures may indicate greater openness of award procedures,, value awarded by procedure /Total value awarded
UC014,4,M018,Market Opportunity,Competition,Total awarded value of tenders awarded by means of competitive procedures,"- Procurement method used
- Award status and value","ocid
tender/procurementMethod
awards/status
awards/value/amount
awards/value/currency",,"A higher total sum awarded through competitive procedures may indicate greater openness of award procedures. Use of competitive procedures may allow easier access for market participants to public procurement and, therefore, may result in increased competition.",,Procurement value awarded by competitive procedures/ all procurement value awarded
UC015,5,,Market Opportunity,Competition,Proportion of single bid tenders,"-Tenderers information
-Procurement method","ocid
tender/procurementMethod
tender/numberOfTenderers OR tender/tenderers/id",,"Having a high proportion of single bids in tenders that should be competitive is 
considered a risk in procurement, since it might signal limited competition, a low capacity of procurement agencies, result in higher prices, lower quality, weaker political accountability",,Count of tenders with a single bid / Total number of competitive tenders
UC016,6,,Market Opportunity,Competition,Proportion of value awarded in single bid tenders vs competitive tenders,"-Tenderers information
-Procurement method
-Award values
-Award status","ocid
tender/procurementMethod
tender/numberOfTenderers OR tender/tenderers/id
awards/status
awards/value/amount
awards/value/currency",,"Having a higher value awarded in non competitive tenders may signal less competition in high value tenders, or higher prices as a result of no competition.
",,Value awarded in tenders with a single bid / Total value awarded in competitive tenders
UC017,7,M006,Market Opportunity,Competition,Mean number of bidders per tender,"- Tender ID
- Bidders information","ocid
tender/procurementMethod
tender/numberOfTenderers OR tender/tenderers/id",,A higher mean number of bidders per tender may indicate limited sole-sourcing and that tenders have fairer competition. It may indicate increased competition and trust in the contracting system,,Average count of bidders/Total tenders or lots
UC018,8,M007,Market Opportunity,Competition,Median number of bidders per tender,"- Tender ID
- Bidders information","ocid
tender/procurementMethod
tender/numberOfTenderers OR tender/tenderers/id",,A higher median number of bidders per tender may indicate limited sole-sourcing and that tenders fairer competition. It may indicate increased competition and trust in the contracting system,,Median count of all bidders / Total number of tenders
UC019,9,M005,Market Opportunity,Competition,Mean number of bidders by item type,"- Tenderers information
- Item information","ocid
tender/procurementMethod
tender/numberOfTenderers OR tender/tenderers/id
tender/items/classification/id
tender/items/classification/scheme",,"The higher the mean number of unique bidders who provide a certain item, the more competitive the overall procurement system may be.",,Average Number of bidders / Total tenders per item
UC020,10,,Market Opportunity,Competition,Number of suppliers by item type,"-Suppliers information
-Items information","award/id
awards/suppliers/id
awards/suppliers/name
(awards/items/classification/id
awards/items/classification/scheme) OR
(tender/items/classification/id, tender/items/classification/scheme) OR (contract/items/classification/id, contract/items/classification/scheme)",,"Comparing the total number of awards with the total number of suppliers for each item allows to identify items with more or less competition. A higher value in the award/supplier rate per item, suggests suppliers concentrate a high number of awards. In addition, having fewer suppliers by item can increase the risk of bid rigging, since this practice is more likely to occur when a small number of companies supply the good or service.
",,Count unique suppliers by item
UC021,11,M010,Market Opportunity,Competition,Number of new bidders in a system ,"- Bidders Information
- Tender start date","tender/id
tender/tenderers/id
tender/tenderPeriod/startDate",,A higher number of new (first-time) bidders may indicate greater system openness and potential for competition. New bidders may also indicate increased trust in the contracting system.  Note: historical information of at least two periods  is needed,,Count of new bidders in the system
UC022,12,M012,Market Opportunity,Competition,Percent of new bidders to all bidders ,"- Bidders Information
- Tender start date","tender/id
tender/tenderers/id
tender/tenderPeriod/startDate",,"When used with other business engagement indicators, growth in the percent of new bidders to all bidders can signal changes in level of bidder confidence in and awareness of the contracting system",,Number of  new bidders / all bidders
UC023,13,M004,Market Opportunity,Competition,Percent of tenders with at least three participants deemed qualified,"- Tenderers information
- Details on the bid status (disqualification)","ocid
bids/details/tenderers/id
bids/details/id
bids/details/status",Bid statistics and details,"A higher percent of tenders with three or more bidders may signal a highly competitive tenders, which may be related to effective preparation of a buyer and could ensure a better market price
",,Number of tenders with at least three participants deemed qualified / total number of tender with three of more participants. 
UC024,14,M002,Market Opportunity,Competition,Mean percent of bids which are disqualified,"- Bid information
- Disqualification information","tender/id
bids/details/id
bids/details/status",Bid statistics and details,"A higher mean percent of bidders disqualified from participation may indicate that a buyer may subject bidders to unjustified disqualification. This can reduce confidence in a buyer and, as a result, reduce the number of bidders wishing to bid for future tenders with this buyer",,Number of disqualified bids / Total bids
UC025,15,M001,Market Opportunity,Competition,Percent of contracts awarded to top 10 suppliers with largest contracted totals,"- Supplier ID
- Award information on winning supplier
-Total award or contract values","awards/id
awards/suppliers/id
awards/suppliers/name
(contracts/id
contracts/awardID
contracts/value/amount
contracts/value/currency) OR
(awards/id,awards/value/amount, awards/value/currency)",,A higher percent of contracts awarded to the top suppliers may indicate weaker market opportunity. Analyzing the concentration of overall contacted value gives insight into how inclusive and competitive the overall marketplace is,,"Number of contracts awarded to a supplier / Total number of contracts 

Total value of contracts awarded to a supplier/ Total value awarded 
Filter top 10."
UC026,16,M008,Market Opportunity,Competition,Mean number of unique suppliers per buyer,"- Procuring Entity
- Supplier ID","ocid
tender/procuringEntity/name OR buyer/name OR parties/identifier/id
parties/roles (=buyer)
awards/suppliers/id
awards/suppliers/name",,A higher mean number of unique suppliers can indicate greater market fairness. Rotating suppliers and a larger number of suppliers per entity may be measures of system openness and competition ,,Unique count of suppliers/ all procuring entities
UC027,17,M009,Market Opportunity,Competition,Number of new awarded suppliers ,"- Suppliers information
- Award date
","awards/id
awards/suppliers/id
awards/suppliers/name
awards/date",,A higher number of new (first-time) suppliers may indicate greater system openness and potential for competition. New suppliers may also indicate increased trust in the contracting system.  Note: historical information of at least two periods  is needed,,Count of unique awarded suppliers
UC028,18,M013,Market Opportunity,Competition,Percent of awards awarded to new suppliers,"- Suppliers information
- Award date
","awards/id
awards/suppliers/id
awards/suppliers/name
awards/date",,"A higher percent of new (first-time) suppliers may indicate greater system openness and potential for competition. This indicator is more powerful when one also considers the age of bidding companies, as new young bidders could, in certain contexts, be a risk to integrity",,Number of new suppliers / all suppliers
UC029,19,M014,Market Opportunity,Competition,Total awarded value awarded to new suppliers,"- Suppliers information
- Contracted amount information
- Award date","awards/id
awards/suppliers/id
awards/suppliers/name
awards/date
awards/value/amount
awards/value/currency ",,"A higher awarded value to new (first-time) suppliers may indicate greater system openness and potential for competition. This indicator is more powerful when one also considers the age of bidding companies, as new young bidders could, in certain contexts, be a risk to integrity","Alternatively these fields can be used: 
contracts/awardID
contracts/value/amount
contracts/value/currency",Value awarded to new suppliers / Value awarded to all suppliers
