"project_id","title","completion_amount","completion_date","completion_scope"
"6","Construction of Lions Swamp Crossing along Moroto –Napak – Abim – Pader Road Under Design and Build","46489249000","2022-04-27T21:00:00.000Z","Design and Execution of Bridge, Box Culvert, Pipe Culverts and approach road works at site."
"44","Construction of mini piped water scheme at Kindeke Trading centre Phase 1","150666058","2022-04-10T21:00:00.000Z","construction of Pump house, laying pipes,  construction of water reservoir and installation of taps and solar pumping system"
"5","5STANCE AT KISWEKA P/S","31909678","2022-05-05T21:00:00.000Z","construction of a 5 stance limned pit latrine"
"45","CONSTRUCTION OF TWO CLASSROOM BLOCK AT DWANIRO PEOPLE'S PRIMARY SCHOOL","84540000","2022-05-29T21:00:00.000Z","TWO CLASSROOM BLOCK"
"53","construction of staff quarters, kitchen, 2stance lined pit latrine and four unit open shower room","158294168","2022-06-29T21:00:00.000Z","four unit staff quarters, kitchen, open shower room and two stance lined pit latrine"
"54","CONSTRUCTION OF A 5STANCE LINED PIT LATRINE ATA KABAMBA","27783168","2022-06-29T21:00:00.000Z","5STANCE LINED PIT LATRINE"
"55","CONSTRUCTION  AND REMODELING OF THE DISTRICT DRUG STORE","250000000","2022-06-29T21:00:00.000Z","WITHIN PRE-SET SCHEDULE"
"56","DRILLING OF 03NO. DEEP BOREHOLES","70139200","2021-12-30T21:00:00.000Z","DEEP BOREHOLE DRILLING"
"57","CONSTRUCTION OF A 5STANCE LINED PIT LATRINE AT BUKOBOOBO P/S","32214000","2022-01-30T21:00:00.000Z","AS DESCRIBED IN THE BOQS"
"58","CONSTRUCTION OF 2STANCE LINED PIT LATRINE AT MUWANGA HC111","13495000","2022-06-29T21:00:00.000Z","2STANCE AT MUWANGA HC111"
"59","5STANCE LINED PIT LATRINE AT KYAMAKOOLA P/S","27929386","2022-06-29T21:00:00.000Z","5STANCE AT KYAMAKOOLA"
"60","KINDEKE PIPED WATER SCHEME PHASE 1","150900000","2022-04-28T21:00:00.000Z","PHASE ONE PIPED WATER SCHEME THAT IS SOLAR DRIVEN"
"61","PROTECTION OF LUTUKUMA SPRINGS  AND EXTENSION OF WATER","11939759","2022-01-30T21:00:00.000Z","PROTECTION OF SPRINGS AND WATER EXTENSION"
"62","PROTECTION OF LUTUKUMA SPRINGS AND EXTENSION OF WATER","111939759","2022-01-30T21:00:00.000Z","WATER EXTENSION AND PROTECTION OF THE WATER SOURCE"
"63","CONSTRUCTION OF KIBOGA TOWN COUNCIL ADMINISTRATION BLOCK","167930284","2022-06-29T21:00:00.000Z","AS PER THE BOQS"
"64","REHABILITATION AND PROTECTION OF 06NO. SPRINGS","31476689","2021-10-28T21:00:00.000Z","AS PER THE BOQS"
"65","5STANCE LINED PI LATRINE AT KIBOOBA P/S","27474058","2022-06-29T21:00:00.000Z","AS PER THE BOQS"
"66","RENOVATION OF KAPEKE SUB COUNTY H/QS","8500000","2021-12-30T21:00:00.000Z","AS PER ST SCHEDULE"
"67","RE-PAINTING AND ELECTRICAL INSTALLATION AT  DWANIRO SUB COUNTY HEAD QUARTERS","9996960","2022-06-29T21:00:00.000Z","REPAINTING AND ELECTRICAL INSTALLATION"
"68","kbkj","5878","2022-06-08T21:00:00.000Z","mvvh"
"70","Procurement of a Contractor for rewiring and modernisation of Amber House Electrical System","5779641328","2022-12-30T21:00:00.000Z","Rewiring and modernisation of Amber house electrical System"
"71","Upgrade of the power house and installation of standby generator","1980540000","2022-12-30T21:00:00.000Z","Upgrade of the power house"
"72","Repair of Amber House Upper Courtyard","194503610","2022-05-31T21:00:00.000Z","Repair of Amber House Upper Courtyard"
"74","XRD PRE-INSTALLATION REQUIREMENTS FOR THE DIRECTORATE OF GEOLOGICAL SURVEY AND MINES LABORATORIES IN ENTEBBE","37296142","2022-03-23T21:00:00.000Z","3MONTHS"
"76","BOREHOLE SITTING, SURVEYING AND DRILLING SUPERVISON","9000000","2021-12-30T21:00:00.000Z","AS PER THE BOQS"
"77","Procurement of a contractor for the repair of Amber house upper parking","307068060","2022-12-30T21:00:00.000Z","Repair of Amber house upper parking"
"86","Extra works on the Multi purpose Laboratory at NACORI","155314927","2022-05-26T21:00:00.000Z","Extra works on the Multi purpose Laboratory at NACORI"
"87","Agwata Water resource project","12000000","2022-06-29T21:00:00.000Z","scope"
"88","Construction/extension of of the powerline and reticulation to the Maruzi Farm","461893300","2022-06-07T21:00:00.000Z","Construction/extension of of the powerline and reticulation to the Maruzi Farm"
"89","Construction of a heifer barn at NaLIRRI","3886078627","2022-12-29T21:00:00.000Z","Construction of a heifer barn at NaLIRRI"
"90","Construction of Maruzi Access roads","456379915","2022-05-30T21:00:00.000Z","Construction of Maruzi Access roads"
"92","Water extension at Maruzi","1560000508","2021-09-29T21:00:00.000Z","Water extension at Maruzi"
"93","Renovation and remodelling of Bugusege guest house into staff residential house","242919284","2022-05-28T21:00:00.000Z","Renovation and remodelling of Bugusege guest house into staff residential house"
"94","Construction of a staff residential block at Maruzi","633366888","2023-01-07T21:00:00.000Z","Construction of a staff residential block at Maruzi"
"95","Renovation of Hostel, Laboratory and Office Blocks at ABi Zardi","440855961","2022-08-31T21:00:00.000Z","Renovation of Hostel, Laboratory and Office Blocks at ABi Zardi"
"103","PROJECT TEST","30000000","2022-09-29T21:00:00.000Z","scope"
"106","Construction of NSSF Warehouse","140000000","2022-12-25T21:00:00.000Z","Construction of NSSF Warehouse"
"107","Pension Administrative System","15","2022-02-27T21:00:00.000Z","Pension Administrative System"
"4","Upgrade of masts",NULL,NULL,NULL
"7","Drilling of two production wells at Kitongo and Maanyi rural growth centres",NULL,NULL,NULL
"8","Fencing of Ssekanyonyi Health Centre IV.",NULL,NULL,NULL
"9","Construction of staff house at Namungo Health Centre III",NULL,NULL,NULL
"10","Completion of a two classroom block at Namutidde primary school",NULL,NULL,NULL
"11","Fencing of Namungo Health Centre",NULL,NULL,NULL
"12","Fencing of a Nursery bed at Kikandwa and re-roofing of Kikandwa Health III",NULL,NULL,NULL
"13","Construction of a 3-stance latrine at Kalangaalo public market",NULL,NULL,NULL
"14","Completion  works at Busunju Health Centre III",NULL,NULL,NULL
"15","construction of Namungo piped water system",NULL,NULL,NULL
"16","Renovation of a  classroom block at Kitebere P/S",NULL,NULL,NULL
"17","Renovation of a classroom block at Kiggwa P/S",NULL,NULL,NULL
"18","Renovation of doctor's house A at Mityana hospital",NULL,NULL,NULL
"19","Renovation  works for schools in Namungo sub county",NULL,NULL,NULL
"20","Renovation of primary schools in Kikandwa sub county",NULL,NULL,NULL
"21","Renovation of primary schools in Bbanda and Maanyi sub counties",NULL,NULL,NULL
"22","Design and Build of Kituuma - Kapeeka - Butalangu Road Upgrading Project (37Km) and Access to Ssingo Barracks (5Km)",NULL,NULL,NULL
"23","Design and Build of Kisoro - Rubuguri - Muko/Nteko Road Upgrading Project (72km)",NULL,NULL,NULL
"24","Civil works for Rehabilitation of Additional Masaka Town Roads (9.3Km)",NULL,NULL,NULL
"25","Design and Build of Jinja Mbulamuti - Kamuli - Bukungu Road (127Km) and Jinja Municipal Roads (10Km)",NULL,NULL,NULL
"26","Emergency Reconstruction of Saka Swamp Crossing on the Kaliro - Pallisa National Road Network under Design and Build Scheme",NULL,NULL,NULL
"27","Civil Works for the Upgrading of the Nabumali-Butaleja-Namutumba Road (72.0km) from gravel to paved (Bituminous) Standard",NULL,NULL,NULL
"28","Civil works for the Upgrading of Tororo-Busia Road (29km) and Muyuge and Busia Town Roads (18Km)",NULL,NULL,NULL
"29","Design and Build of Package 6A upgrading of Kabwoya - Buhuka Road (43km)",NULL,NULL,NULL
"30","Construction of a 5-Stance VIP latrine at Muyebe PS",NULL,NULL,NULL
