"id","oc4ids_identifier","title","description","purpose","status","created_at","project_type","project_sector","pde","pde_category","market_price"
"23","oc4ids-o8h2mh-1648468827-23","Design and Build of Kisoro - Rubuguri - Muko/Nteko Road Upgrading Project (72km)","Design and Build of Kisoro - Rubuguri - Muko/Nteko Road Upgrading Project (72km)","To boost tourism","identification","2022-03-28 12:00:27","Construction","Road transport","Uganda National Roads Authority","Central Government","508383133900"
"22","oc4ids-o8h2mh-1648466717-22","Design and Build of Kituuma - Kapeeka - Butalangu Road Upgrading Project (37Km) and Access to Ssingo Barracks (5Km)","Butalangu - Kapeeka, and Kapeeka - Kituuma and minor Access to Ssingo Barracks (5Km)","Aimed at developing the critical road infrastruction to support the industrial pairk in Kapeeka.","identification","2022-03-28 11:25:17","Construction","Road transport","Uganda National Roads Authority","Central Government","132319058864"
"6","oc4ids-o8h2mh-1645165177-6","Construction of Lions Swamp Crossing along Moroto –Napak – Abim – Pader Road Under Design and Build","Construction of Lions Swamp Crossing on Moroto - Pader Road",NULL,"implementation","2022-02-18 06:19:37","Construction","Road transport","Uganda National Roads Authority","Central Government","46489249000"
"24","oc4ids-o8h2mh-1648545832-24","Civil works for Rehabilitation of Additional Masaka Town Roads (9.3Km)","Additional works for Masaka Town Roads (9.3Km)","Boost trade in the area, easies access to services and also reduce on the vehicle operating costs","identification","2022-03-29 09:23:52","Rehabilitation","Road transport","Uganda National Roads Authority","Central Government","53338589795"
"25","oc4ids-o8h2mh-1648645379-25","Design and Build of Jinja Mbulamuti - Kamuli - Bukungu Road (127Km) and Jinja Municipal Roads (10Km)","Upgrading of Jinja Municipal Roads","Easy movement","identification","2022-03-30 13:02:59","Construction","Road transport","Uganda National Roads Authority","Central Government","560666181664"
"26","oc4ids-o8h2mh-1648800068-26","Emergency Reconstruction of Saka Swamp Crossing on the Kaliro - Pallisa National Road Network under Design and Build Scheme","Swamp Crossing on the Kaliro - Palisa National Road Network under Design and Build Scheme","Emergency Reconstruction of Saka Swamp Crossing on the Kaliro - Pallisa National Road Network under Design and Build Scheme	UNRA/WORKS/2021-22/00024	76,782,415,168	1	312103	Lawrence Pario	28th Sep, 2021	30th Sep, 2021	26th Nov, 2021	_	Direct Bidding	GOU	Bid Securing Declaration	N/A	7th Dec, 2021	15th Dec, 2021	15th Dec, 2021	7th Feb, 2022	28th Feb, 2022	N/A	TBD	TBD	No	17.1	26th June, 2022	24th July, 2022	TCS	Arab Contractors (Osman Ahmed Osman & Co.)	N/A	76,500,755,047.81	""Mr. Sula
Miss. Caroline""	""0782 751 040
0775 544 549""	Stellah	2nd Feb, 2022	""1. Eng. William Sharpe
2. Hosea Kahigwa
3. Isaac Natukunda""	3rd Feb, 2022											Emergency Reconstruction of Saka Swamp Crossing on the Kaliro - Palisa National Road Network under Design and Build Scheme	To reconstruct Saka Swamp Embankment Crossining that was cut-off between Kaliro and Pallisa Districts to restore traffic on the road	Eastern	Saka Swamp  long located along Kaliro-Pallisa road between Namwiwa Sub-county (Kalilo District) and Kasodo Sub-county (Pallisa District)	42 Months	Reconstruction of Saka Swamp	5 Months + 3 Years	It is the optimal time selected by the engineer	Isaac","identification","2022-04-01 08:01:08","Replacement","Road transport","Uganda National Roads Authority","Central Government","76782415168"
"28","oc4ids-o8h2mh-1649230139-28","Civil works for the Upgrading of Tororo-Busia Road (29km) and Muyuge and Busia Town Roads (18Km)","Upgrading of the Tororo-Busia Road (26Km) and Mayuge and Busia Town Roads (18km)","Link in connecting the two-cardinal import/export border points of Malaba and Busia","identification","2022-04-06 07:28:59","Construction","Road transport","Uganda National Roads Authority","Central Government","140739369888"
"33","oc4ids-o8h2mh-1653555816-33","Construction of Low Cost Sealing of Selected Low Volume Roads","Low cost sealing of various roads totaling to 56.0km in different Districts","Roll out the Low Cost sealing Technology in support of Economic Development in the Country","identification","2022-05-26 09:03:36","Construction","Road transport","Ministry of Works and Transport","Central Government","53080000002"
"44","oc4ids-o8h2mh-1653628193-44","Construction of mini piped water scheme at Kindeke Trading centre Phase 1",NULL,NULL,"identification","2022-05-27 05:09:53","Construction","Water and waste","Kiboga District Local Government","Local Government","150900000"
"5","oc4ids-o8h2mh-1644564584-5","5STANCE AT KISWEKA P/S","CONSTRUCTION OF A LINED PIT LATRINE","SANITATION PURPOSE","identification","2022-02-11 07:29:44","Construction","Education","Kiboga District Local Government","Local Government","32352250"
"45","oc4ids-o8h2mh-1653631284-45","CONSTRUCTION OF TWO CLASSROOM BLOCK AT DWANIRO PEOPLE'S PRIMARY SCHOOL","CONSTRUCTION","SHELTER FOR LEARNERS","identification","2022-05-27 06:01:24","Construction","Education","Kiboga District Local Government","Local Government","84671959"
"53","oc4ids-o8h2mh-1653914482-53","construction of staff quarters, kitchen, 2stance lined pit latrine and four unit open shower room","construction of school staff quarters","ease learning and accommodation for teachers","identification","2022-05-30 12:41:22","Construction","Education","Kiboga District Local Government","Local Government","158294168"
"54","oc4ids-o8h2mh-1653918481-54","CONSTRUCTION OF A 5STANCE LINED PIT LATRINE ATA KABAMBA","CONSTRUCTION","IMPROVE SANITATION","identification","2022-05-30 13:48:01","Construction","Education","Kiboga District Local Government","Local Government","27783168"
"55","oc4ids-o8h2mh-1653919553-55","CONSTRUCTION  AND REMODELING OF THE DISTRICT DRUG STORE","DRUG STORE CONSTRUCTION AND REMODELING","OFFICES FOR THE DHO AND DRUGS STORE","identification","2022-05-30 14:05:53","Construction","Health","Kiboga District Local Government","Local Government","250000000"
"56","oc4ids-o8h2mh-1653981243-56","DRILLING OF 03NO. DEEP BOREHOLES","DRILLING WORKS","WATER AND SANITATION","identification","2022-05-31 07:14:03","Construction","Water and waste","Kiboga District Local Government","Local Government","78000000"
"57","oc4ids-o8h2mh-1653982724-57","CONSTRUCTION OF A 5STANCE LINED PIT LATRINE AT BUKOBOOBO P/S","CONSTRUCTION OF LINED PIT LATRINE","SANITATION","identification","2022-05-31 07:38:44","Construction","Education","Kiboga District Local Government","Local Government","32352250"
"58","oc4ids-o8h2mh-1653994397-58","CONSTRUCTION OF 2STANCE LINED PIT LATRINE AT MUWANGA HC111","2STANCE LINED PIT LATRINE AT MUWANGA HC111","SANITATION","identification","2022-05-31 10:53:17","Construction","Health","Kiboga District Local Government","Local Government","13500000"
"59","oc4ids-o8h2mh-1653996610-59","5STANCE LINED PIT LATRINE AT KYAMAKOOLA P/S","CONSTRUCTION OF A LATRINE","SANITATION","identification","2022-05-31 11:30:10","Construction","Education","Kiboga District Local Government","Local Government","27929386"
"62","oc4ids-o8h2mh-1654155503-62","PROTECTION OF LUTUKUMA SPRINGS AND EXTENSION OF WATER","WATER EXTENSION AND PROTECTION OF SPRINGS","SANITATION","identification","2022-06-02 07:38:23","Construction","Water and waste","Kiboga District Local Government","Local Government","12000000"
"63","oc4ids-o8h2mh-1654156841-63","CONSTRUCTION OF KIBOGA TOWN COUNCIL ADMINISTRATION BLOCK","AS PER THE BOQS","HOUSE ADMINISTRATORS/ OFFICES","identification","2022-06-02 08:00:41","Construction","Governance","Kiboga District Local Government","Local Government","169596267"
"64","oc4ids-o8h2mh-1654158952-64","REHABILITATION AND PROTECTION OF 06NO. SPRINGS","REHABILITATION OF SPRINGS","SANITATION","identification","2022-06-02 08:35:52","Construction","Water and waste","Kiboga District Local Government","Local Government","31000000"
"65","oc4ids-o8h2mh-1654173593-65","5STANCE LINED PI LATRINE AT KIBOOBA P/S","5STANCE AT KIBOOBA","SANITATION","identification","2022-06-02 12:39:53","Construction","Education","Kiboga District Local Government","Local Government","27500000"
"66","oc4ids-o8h2mh-1654507487-66","RENOVATION OF KAPEKE SUB COUNTY H/QS","WORKS AS PER THE BOQS","DEUTIFICATION OF SUB COUNTY OFFICES AND COUNCIL","identification","2022-06-06 09:24:47","Construction","Governance","Kiboga District Local Government","Local Government","8500000"
"67","oc4ids-o8h2mh-1654593183-67","RE-PAINTING AND ELECTRICAL INSTALLATION AT  DWANIRO SUB COUNTY HEAD QUARTERS","RE-PAINTING AND ELECTRICAL INSTALLATION AT DWANIRO SUB COUNTER","HOUSE COUNCIL AND ADMINISTRATION OFFICES","identification","2022-06-07 09:13:03","Construction","Governance","Kiboga District Local Government","Local Government","9996960"
"68","oc4ids-o8h2mh-1654659632-68","kbkj","kbkb","kjbkj","identification","2022-06-08 03:40:32","Construction","Health","Ministry of Gender, Labour and Social Development","Central Government","1345"
"70","oc4ids-o8h2mh-1654677149-70","Procurement of a Contractor for rewiring and modernisation of Amber House Electrical System","Rehabilitation","rewiring and modernisation of Amber House Electrical System","identification","2022-06-08 08:32:29","Rehabilitation","Governance","Ministry of Energy and Mineral Development","Central Government","5820000000"
"69","oc4ids-o8h2mh-1654676477-69","Construction of staff houses in Nakapiripiriti, Amudat and Moroto districts under Karamoja Regions staff project",NULL,NULL,"identification","2022-06-08 08:21:17","Construction","Health","Ministry of Health","Central Government","350000000"
"71","oc4ids-o8h2mh-1654679305-71","Upgrade of the power house and installation of standby generator","Upgrade of the power house","Upgrade of the power house","identification","2022-06-08 09:08:25","Rehabilitation","Energy","Ministry of Energy and Mineral Development","Central Government","2000000000"
"72","oc4ids-o8h2mh-1654685069-72","Repair of Amber House Upper Courtyard","Repair of Amber House Upper Courtyard","Repair of Amber House Upper Courtyard","identification","2022-06-08 10:44:29","Rehabilitation","Energy","Ministry of Energy and Mineral Development","Central Government","195939772"
"76","oc4ids-o8h2mh-1654851632-76","BOREHOLE SITTING, SURVEYING AND DRILLING SUPERVISON","DRILLING SUPERVISION","SANITATION","identification","2022-06-10 09:00:32","Construction","Water and waste","Kiboga District Local Government","Local Government","9000000"
"77","oc4ids-o8h2mh-1654853287-77","Procurement of a contractor for the repair of Amber house upper parking","Repair of Amber house upper parking","Repair of Amber house upper parking","identification","2022-06-10 09:28:07","Rehabilitation","Energy","Ministry of Energy and Mineral Development","Central Government","265811938"
"79","oc4ids-o8h2mh-1654867807-79","The Kampala Metropolitan Transmission System Improvement","Procurement of Electrical and Mechanical Plant, and for Building and Engineering Works, Designed by Contractor","Procurement of Electrical and Mechanical Plant, and for Building and Engineering Works, Designed by Contractor","identification","2022-06-10 13:30:07","Construction","Energy","Uganda Electricity Transmission Company","Central Government","3873807692"
"32","oc4ids-o8h2mh-1653555731-32","Reconstruction of five (5) Failed bridges on the National Road Network under Design and Build",NULL,NULL,"identification","2022-05-26 09:02:11","Construction","Road transport","Uganda National Roads Authority","Central Government","62806600000"
"81","oc4ids-o8h2mh-1655364370-81","Replacement of Hospital Chain Link Fence","Replacement of Cut Hospital Chain Link Fence in Kayunga Referral Hospital",NULL,"identification","2022-06-16 07:26:10","Replacement","Health","Ministry of Health","Central Government","19212812"
"82","oc4ids-o8h2mh-1655371459-82","Renovation of the Ministry of Health Building -Civil Works","Re-roofing of Block D and Re plating the Chain Link Fence at the Vector Control Center","To avoid the numerous leakages in the existing  Roof","identification","2022-06-16 09:24:19","Rehabilitation","Health","Ministry of Health","Central Government","141171701"
"40","oc4ids-o8h2mh-1653563311-40","Building Maintenance works at UNRA Headquaters, Kyambogo Offices, Namugongo Stores and Ntinda",NULL,NULL,"identification","2022-05-26 11:08:31","Rehabilitation","Economy","Uganda National Roads Authority","Central Government","1870351153"
